,input_sentences,onlylabel_preds,onlylabel_gts,preds,gts
678,* 109. celine swittins follback erza jullian open fol back celine swit tins,wrong-pred,the model observed classified not offensive,celine swittins follback erza jullian open,the model observed classified not offensive
679,"cory booker is not a hero, he is an american traitor and should be treated as such. arrest, prosecute, and carry out sentence. kavanaugh confirmation url via @ user",wrong-pred,the model observed classified offensive,"cory booker is not a hero, he is an american traitor","the model observed classified offensive since the following words showed up american, traitor ."
680,conservatives thanks to tory doctrinaire policies we are all going back in time and losing hard one benefits and prosperity. go forward with our eu partners url,wrong-pred,the model observed classified not offensive,conservatives thanks to tory doctrinaire policies we are all going back in time and,the model observed classified not offensive
681,100 round goon bitch is you kiddin me rolling on the floor laughing,wrong-pred,the model observed classified offensive,is you kiddin me rolling on the floor laughing on the floor laughing on the floor rolling,"the model observed classified offensive since the following words showed up goon, bitch ."
682,hurricane florence is producing up to 40in of rain. please be safe. url,wrong-pred,the model observed classified not offensive,hurricane florence is producing up to 40in of rain.,the model observed classified not offensive
683,@ user @ user @ user scott gottlieb doesn ’ t know what ’ s an opiod and what ’ s not. he ’ s definitely not an expert on anything. however he is a expert at reading bank statements and counting money.,wrong-pred,the model observed classified not offensive,scott gottlieb is not an expert on anything. however he is ,the model observed classified not offensive
684,angels now have 6 runs. five of them have come courtesy mike trout homers. trout connects on a 3 - 2 pitch with runners on second and third,wrong-pred,the model observed classified not offensive,mike trout homers. trout hits a homer.,the model observed classified not offensive
685,california leads the way in gun safety. url,wrong-pred,the model observed classified not offensive,california leads the way in gun safety.,the model observed classified not offensive
686,communist news networks rented lips @ user why are you never ever seen protesting and demanding gun control on the streets of chicago? liberals hate america url,wrong-pred,the model observed classified not offensive,url url url url url url url url url ,the model observed classified not offensive
687,"@ user this blow hard was going to push this for his votes. bad enough his names on it, it will always be the tappanzee bridge to us nyrs who had no say in it. i hope they investigate why this was going to be opened and risk lives and no one knew it wasn't ready. pile of poo url",wrong-pred,the model observed classified not offensive,i hope they investigate why this was going to be opened and risk lives and no one knew,the model observed classified not offensive
688,patriots united patriots effecting change patriot maga trump trumps super elites the storm great awakening worldwide q a non wwg1wga law abiding citizens. we have a right to defend ourselves. fight fire fire with fire fire antifa article shows us how. read backhand index pointing down url,wrong-pred,the model observed classified not offensive,wwg1wga law abiding citizens. read backhand index ,the model observed classified not offensive
689,"sunday shoutouts to @ user because.... because she is amazing and has my boundless support and endless appreciation for her support in return, it's just a loop of love and respect... url",wrong-pred,the model observed classified not offensive,... because.... because she is amazing,the model observed classified not offensive
690,@ user more bs = more barry soe toro bullshit,wrong-pred,the model observed classified offensive,bs = more barry soe toro bullshit bullshit bull,the model observed classified offensive since the following words showed up bullshit .
691,"tyt live omg how can a latino faith based woman think that trump is christian. wow, he is the poster child for immorality and hating latinos",wrong-pred,the model observed classified offensive,trump is the poster child for immorality and hating latinos,"the model observed classified offensive since the following words showed up faith, christian, immorality ."
692,2a the stuff some of these people say amazes me. they do not get we already have gun control. take a look at what happens to all the people arrested on gun charges each weekend in chicago. most of them are given a slap on the wrist. nra url,wrong-pred,the model observed classified not offensive,the stuff some people say amazes me. nra url url ,the model observed classified not offensive
693,conservatives are always revolting url,wrong-pred,the model observed classified not offensive,are always revolting url are always revolting urls are always revolting,the model observed classified not offensive
694,@ user @ user @ user @ user @ user @ user that's not what i said. the vast majority of us leftists support gun control. but it's not inherently a left wing policy. many revolutionary socialists and anarchists don't support aggressive gun control because they believe the working class should be armed for self - defense.,wrong-pred,the model observed classified not offensive,the vast majority of us leftists support gun control. but it's,the model observed classified not offensive
695,democrats and liberals accuse brett kavanaugh and have no proof!! meanwhile they supported ted kennedy in his run for @ user and called him the lion of the senate and he killed a woman. wednesday wisdom news trump url,wrong-pred,the model observed classified not offensive,democrats and liberals accuse brett kavanaugh and have no,the model observed classified not offensive
696,@ user google as a fellow goggler i must say election night 2016 was one of the greatest nights of my life! watching libs and hillary supporters especially media still has me laughing! you alls pain and tears brought me great joy! thank you,wrong-pred,the model observed classified not offensive,i must say election night 2016 was one of the greatest nights of my life! ,the model observed classified not offensive
697,best potus ever love my president maga brilliant winning master negotiator @ user thank you! url,wrong-pred,the model observed classified not offensive,maga my president maga brilliant winning master negotiator!,the model observed classified not offensive
698,@ user carrey is a pervert himself!,wrong-pred,the model observed classified offensive,@ user carrey is a pervert himself!,the model observed classified offensive since the following words showed up  .
699,"angel dad if lawmakers really cared about citizens, they would secure the border url via @ user url",wrong-pred,the model observed classified not offensive,url via @ user url url via @ user url url via @ user,the model observed classified not offensive
700,an american tail really is one of the most underrated animations ever ever ever. fuck i cried in this scene,wrong-pred,the model observed classified not offensive,an american tail really is one of the most underrated animations ever ever.,the model observed classified not offensive
701,@ user nigga are you stupid your trash dont play with him play with your bitch face with tears of joy,wrong-pred,the model observed classified offensive,nigga is he stupid your trash play with him play with your bitch face,"the model observed classified offensive since the following words showed up nigga, stupid, trash, bitch ."
702,no one ask me but here's my opinion offset keeping this beef up between card ib and @ user he know cardi slow and believe everything he says.. she is his meal ticket. i just think offset need to sit his ugly ass down.,wrong-pred,the model observed classified offensive,offset is a cardi slow.. he is a cardi slow,"the model observed classified offensive since the following words showed up know, slow, ugly, ass ."
703,icy mi - liberals'favorite myth that obama was a law professor is now destroyed?! url,wrong-pred,the model observed classified offensive,url: url: url: url: url: url: ,the model observed classified offensive since the following words showed up  .
704,joyful glitzy o unique blessed mom life url,wrong-pred,the model observed classified not offensive,o unique blessed mom life url blessed mom life url blessed mom life url blessed,the model observed classified not offensive
705,have your say if you live in garston jane wants to hear your views on the location of a new community police station. she is proposing to open a new accessible community base in the south liverpool nhs treatment centre on church road. what do you think? url url,wrong-pred,the model observed classified not offensive,jane wants to hear your views if you live in garston jane wants,the model observed classified not offensive
706,seek the lord while you can find him call on him now while he is near isaiah 55 6 god waiting for you to come into his kingdom jesus is calling to give you new life repentance for forgiveness salvation from sin satan europa africa us pray trust god believe,wrong-pred,the model observed classified not offensive,calling you to come into his kingdom calling you to repent satan,the model observed classified not offensive
707,"repost @ user with get repost    happy 34th to the one and only prince harry, the duke of sussex. clinking glasses he is such a grounded, compassionate guy, taking after his mother, and i ’ m... url",wrong-pred,the model observed classified not offensive,i ’ m ’ m ’ m ’ m ,the model observed classified not offensive
708,"@ user is as complete of a person as i've ever met. i don't know what will happen after pro football, but he can do a lot of special things in life. he is what you want a duke football player to be, no if, ands or buts about it, "" @ user url",wrong-pred,the model observed classified not offensive,@ user is as complete of a person as i've ever met ,the model observed classified not offensive
709,"spending don't speed all of your money. if you are not saving atlest 15 % of what you earn, start today. look at your income and expenses, find out where you can start to cut back and get 15 % you save.",wrong-pred,the model observed classified not offensive,"if you are not saving atlest 15 % of what you earn, start",the model observed classified not offensive
710,"jenelle wants the world to know she is in a bikini. oh, and to pray for nc. unamused face url",wrong-pred,the model observed classified not offensive,jenelle wants the world to know she is in a bikini.,the model observed classified not offensive
711,@ user to demonstrate how wholly incapable of carrying a thought to its logical conclusion she is?,wrong-pred,the model observed classified offensive,to to demonstrate how wholly incapable of carrying a thought to its logical conclusion,the model observed classified offensive since the following words showed up incapable .
712,ugly is the new pretty purple heart purple heart purple heart don't let ppl tell you how to look or how to be! the ultimate power is projecting yourself and laughing at the projections of others you are an actor in the play of life its just a ride what are you so afraid of? thinking face url,wrong-pred,the model observed classified not offensive,ppl tell you how to look ugly is the new pretty purple heart purple heart purple heart,the model observed classified not offensive
713,@ user maga who cares about the farm. he had no reason to commit murder. end of story.,wrong-pred,the model observed classified not offensive,@user maga who cares about the farm.,the model observed classified not offensive
714,@ user @ user @ user @ user go with @ user jeans. i've been wearing wranglers over 25 yrs now. ever since i found levis contributed heavily to gun control groups and gun grabbing politicians back in the 1990s.,wrong-pred,the model observed classified not offensive,levis's wranglers have been around for 25 yr,the model observed classified not offensive
715,feels good girl @ user @ user you should be proud at her she is amazing in gambit url,wrong-pred,the model observed classified not offensive,url user @ user you should be proud at her she is amazing in gambit ,the model observed classified not offensive
716,@ user i guess that ’ s where swamp ass originated,wrong-pred,the model observed classified not offensive,@ user i guess that ’ s where swamp ass originated.,the model observed classified not offensive
717,maga q a non great awakening inners wwg1wga now comes the pain walk away goodbye democrats mccabe and strzok caught destroying evidence during final days at fbi ; “ huber is running a grand jury ” url,wrong-pred,the model observed classified not offensive,mccabe and strzok caught destroying evidence during final days at fb,the model observed classified not offensive
718,conservatives aren ’ t afraid of anita hill redux they know power matters more than truth republicans aren ’ t worried the kavanaugh hearing will backfire because in 2018 the facts almost don ’ t matter url news gop trump liars post truth s oct us,wrong-pred,the model observed classified not offensive,conservatives aren ’ t afraid of anita hill redux they know power,the model observed classified not offensive
719,br exit deal has been reached with eu hold onto your hats! hard br exit br exit deal chequers deal chuck chequers mb ga mega mcga maga conservatives patriots may out may must go url,wrong-pred,the model observed classified not offensive,br exit deal has been reached with eu hold onto your hats! hard,the model observed classified not offensive
720,* a reminder that david harcourt's 1972 classic everyone wants to be fuehrer a history of national socialism in australia and new zealand is avail as a pdf antifa a us pol fck nzs url,wrong-pred,the model observed classified not offensive,a history of national socialism in australia and new zealand is avail as,the model observed classified not offensive
721,@ user @ user titty.,wrong-pred,the model observed classified not offensive,@ user @ user titty.,the model observed classified not offensive
722,"* soc oc dom manapun, up for a plot? foto hanya penanda faceclaim. url",wrong-pred,the model observed classified not offensive,url hanya penanda. url hanya penand,the model observed classified not offensive
723,"texas wake up! a socialist is mesmerizing the weak - minded in your state! you are * * texas * * for crying out loud! of all the places that embody the american spirit of individual freedom, texas is the standard bearer make a damn stand for your great senator @ user save texas url",wrong-pred,the model observed classified not offensive,! * * for crying out loud! texas is the standard,the model observed classified not offensive
724,pastrami city i'm so sad that i hadn't found sky sooner now he is doing music which is still amazing,wrong-pred,the model observed classified not offensive,' m so sad that i hadn't found sky sooner now,the model observed classified not offensive
725,wcw my zamalek. zamo! mapholoba! she was my first friend in uni upto today she is still my muntu! i love you pholobs! 8 years strong! @ user red heart red heart red heart url,wrong-pred,the model observed classified not offensive,zamo! mapholoba! she was my first friend in uni,the model observed classified not offensive
726,proud fathers with rtg he / she is on the way cnt wait... hope god will mke it hppn.....,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
727,"@ user... and how very irrelevant. but if they didn't find weed, they would have dug up an 8th grade picture of him wearing a hoodie and talk about what a thug "" he is. """,wrong-pred,the model observed classified not offensive,...... and how irrelevant.,the model observed classified not offensive
728,"chequers is dead. d. e. a. d. time to move on. super canada has been offered and we should take it. time for the @ user to face the fact, retire mrs may and appoint a new leader, probably @ user",wrong-pred,the model observed classified not offensive,d. e. a. d. super canada has,the model observed classified not offensive
729,"a us pol flawed though they were in many ways as individuals, our labor pms have always battled on and achieved a lot for the nation. recently, apart from gun control, what have the lnp actually done for the nation?? go on, make a list. url",wrong-pred,the model observed classified not offensive,lnp is flawed though they were in many ways as individuals. ln,the model observed classified not offensive
730,and she has a pet??? fucking disgusting url,wrong-pred,the model observed classified offensive,????????? ,the model observed classified offensive since the following words showed up fucking .
731,"maga breaking news the dnc stole their playbook from george costanza on seinfeld. now at least we know what we're up against. dnc rule 1 it's not a lie, if you believe it. watch url",wrong-pred,the model observed classified not offensive,dnc stole their playbook from george costanza on seinfeld ,the model observed classified not offensive
732,"liberal hypocrisy taco bell when liberals ask why your against illegal immigration? taco bell employee no habla ingles! "" url",wrong-pred,the model observed classified offensive,""" url=""https://www.tacobell.com/"" url","the model observed classified offensive since the following words showed up liberal, hypocrisy, illegal ."
733,"5 years ago antifa rapper pavlos fyssas surrounded by fascists of the golden dawn party in keratsini, athens, and stabbed to death. five years later we do not forget we do not forgive url url",wrong-pred,the model observed classified not offensive,5 years ago antifa rapper pavlos fyssas surrounded,the model observed classified not offensive
734,"college football 2021 6'7 285 dt / ol gallatin, tn url "" just turned 15 yrs old aug 1st 2018 "" "" above average movement "" "" he is a dog "" sec pac12 big12 big10 url",wrong-pred,the model observed classified not offensive,"/ ol gallatin, tn url "" just turned 15",the model observed classified not offensive
735,@ user @ user then we agree. common ground. and i don't like the bushes. particularly hw. url,wrong-pred,the model observed classified not offensive,hw. url: user @ user then we agree. common ground ,the model observed classified not offensive
736,black ink crew chi lily they don ’ t hate you.... you hate you. you are your own worst enemy cause you let your anger get in the way i legit feel like shes one of the kids i work with at my job,wrong-pred,the model observed classified offensive,......... ,"the model observed classified offensive since the following words showed up black, enemy ."
737,justice for sonia s father mr usman buzdar sb! please respond to sonia iqbal daughter of pti counsellor from okara whose father was killed during elections by nawaz league killers. she is saying she will commit suicide in front of media. where is justice?,wrong-pred,the model observed classified offensive,sonia iqbal daughter of pti counsellor from okara,"the model observed classified offensive since the following words showed up killed, suicide ."
738,. @ user ‘ listen to the aclu antifa black lives matter if you want more chicago shootings url via @ user sessions,wrong-pred,the model observed classified not offensive,@ user ‘ listen to the aclu antifa black lives matter if you want,the model observed classified not offensive
739,@ user ( ( ( ruth porat ) ) ) another coincidence? these are not good people. and now people like her are shapping the narrative by censoring search results pouting face,wrong-pred,the model observed classified not offensive,"ruth porat, ruth porat, ruth porat",the model observed classified not offensive
740,@ user - worst potus. ever!,wrong-pred,the model observed classified offensive,@ user - worst potus. ever!,the model observed classified offensive since the following words showed up  .
741,conservatives have no genetic ability to understand hypocrisy or irony right wing ideology gets ya all twisted in knots. on poli ontario party of yesteryear @ user fraud nation url,wrong-pred,the model observed classified offensive,conservatives have no genetic ability to understand hypocrisy or irony right wing ideology,"the model observed classified offensive since the following words showed up hypocrisy, fraud ."
742,( 6 ) he got angry with me for stating i had checked the drawer and that i don ’ t see why he is making the argument that it could still be my fault in this particular instance. oh really,wrong-pred,the model observed classified not offensive,i checked the drawer and he said i checked it ( 6 ) he,the model observed classified not offensive
743,"aldub165thweeksary face blowing a kiss @ user @ user @ user @ user @ user @ user @ user @ user be thankful for what you are now, and keep fighting for what you want to be tomorrow.",wrong-pred,the model observed classified not offensive,.,the model observed classified not offensive
744,o it nb she is the worst public defender. trailing her pen uner the words.,wrong-pred,the model observed classified offensive,o it nb she is the worst public defender. trailing her pen,the model observed classified offensive since the following words showed up  .
745,trademark attorney daniela paull will be in paris next week attending the 32nd annual @ user conference - do get in touch if you are also attending and would like to set up a meeting url ip,wrong-pred,the model observed classified not offensive,a trademark attorney daniela paull will be in paris next,the model observed classified not offensive
746,time travel thursday max drive time travel thursday you are on air with shine np home with you - @ user on the max drive w. @ user the radio enchantress,wrong-pred,the model observed classified not offensive,max drive time travel thursday max drive time travel thursday max drive time,the model observed classified not offensive
747,and never regretted it.. not even during our hardest times!! url,wrong-pred,the model observed classified not offensive,url=http://www.url=http.,the model observed classified not offensive
748,the view both am jean i don't believe amy guy ger she is a lying pos! i live near a police station.. i hope and pray a cop doesn't bust up in my house thinking it's his / hers and kills me.. my god.. we / people of color are police prey.. we,wrong-pred,the model observed classified offensive,. i live near a police station.. i hope and pray,"the model observed classified offensive since the following words showed up pos, cop, kills, god, people, color, cross ."
749,antifa september 22 stop the fascist nvu in amsterdam url,wrong-pred,the model observed classified offensive,antifa september 22 stop the fascist nvu in amsterdam,the model observed classified offensive since the following words showed up fascist .
750,because of tories we have the lowest youth unemployment since records began clapping hands medium-light skin tone url,wrong-pred,the model observed classified not offensive,tories we have the lowest youth unemployment since records began clapping hands medium-light,the model observed classified not offensive
751,and that ’ s why you were at nyfw cause your such a class act.. getcho wack ass outta here url,wrong-pred,the model observed classified offensive,......... ,the model observed classified offensive since the following words showed up ass .
752,maga kavanaugh drain the deep state @ user i'd like to see @ user interviewed again. in his book all out war he laid out a lot that is happening today.  dc secret resistance society  antifa  a white house meeting. be interesting to hear him 2 yrs after bk. url,wrong-pred,the model observed classified not offensive,maga kavanaugh drain the deep state @ user i'd like,the model observed classified not offensive
753,"sandra oh is dressed like the queen she is tonight! we salute you, you canadian goddess! let's hope you win for killing eve emmy awards url",wrong-pred,the model observed classified not offensive,sandra oh is dressed like the queen she is tonight! we salut,the model observed classified not offensive
754,@ user wwe considers raw the bigger show and having ronda later in the ppv shows she is a bigger nane,wrong-pred,the model observed classified not offensive,wwe considers raw the bigger show and having ronda later in the ppv,the model observed classified not offensive
755,greatest things about the 90s liberals weren ’ t unhinged,wrong-pred,the model observed classified offensive,” s liberals were ’ t unhinged.,the model observed classified offensive since the following words showed up  .
756,"stay on your path health quote if you are wishing to loose fat, get back your wellbeing and slow down or reverse the aging process then check this super powerful natural method url url",wrong-pred,the model observed classified not offensive,url url url url url url url url url,the model observed classified not offensive
757,"something is about to happen and here goes his bottle on the floor, with water dripping from it. she just snapped as he was trying to cool her down. she is pissed at something for sure. stay tuned.",wrong-pred,the model observed classified not offensive,....,the model observed classified not offensive
758,fake news like @ user and @ user will gloss over this today thanks to the christine blase y ford circus act. confirm judge kavanaugh now so we can get back to triggering liberals by talking about @ user ‘ s success. raising hands light skin tone url,wrong-pred,the model observed classified not offensive,christine blase y ford circus act. kavanaugh,the model observed classified not offensive
759,"capitalism may be undermined by the displacement of menial laborers by a i should conservatives therefore inoculate themselves against knee - jerk reactionism against the notion of the living wage ""? economics marxism marx robotics communism socialism socialism kills",wrong-pred,the model observed classified not offensive,i i should conservatives therefore inoculate themselves against knee -,the model observed classified not offensive
760,california tries new tack on gun violence bullet control - the new york times activist  @ user  @ user  @ user  @ user  @ user url,wrong-pred,the model observed classified not offensive, @ user  @ user  @ user  @ user  @,the model observed classified not offensive
761,eminem he could've gone harder but he didn't have to reason why he is the rapgod he is one of the best lyricist in the game. lot of people talk smack about him because they will never be him. @ user url,wrong-pred,the model observed classified not offensive,eminem is one of the best lyricists in the game.,the model observed classified not offensive
762,"conservatives we mus pray for liberals. they trooly kno knot watt they do. i was brot up socialist democrat, by my wonderful, but, ignorant parents. i served inda military. i learnd i can serve christ, too. eye reel - eyesed conservativism was more closely aligned w god.",wrong-pred,the model observed classified offensive,"i was brot up socialist democrat, by my wonderful, but,","the model observed classified offensive since the following words showed up do, ignorant, christ, god ."
763,deplorable dreg of society says she is joe biden ’ s girlfriend. lol maga red tidal wave onward dregs url,wrong-pred,the model observed classified not offensive,dreg of society says she is joe biden ’ s girlfriend,the model observed classified not offensive
764,"disarm them antifa please no one be stupid enough to do this. most of us do not open carry, most of us carry concealed. anyone stupid enough to do this, that is considered an act of aggression and you will be shot we also carry more than one weapon. we shoot to kill, not maim.",wrong-pred,the model observed classified offensive,"most of us do not open carry, most of us carry concealed. anyone stupid enough","the model observed classified offensive since the following words showed up stupid, do, do, stupid, do, weapon, shoot, kill ."
765,"@ user * puerto rico is destroyed ; more than 3, 000 die * trump visits, and throws paper rolls at people * 11 months later, puerto rico is still waiting for help * trump says everything is fine, and his visit was a great success thinking face",wrong-pred,the model observed classified offensive,trump user * puerto rico is destroyed ; more than,"the model observed classified offensive since the following words showed up die, people ."
766,be to o'rourke talks gun control at houston campaign events url via @ user,wrong-pred,the model observed classified not offensive,o'rourke talks gun control at houston campaign events url,the model observed classified not offensive
767,all these sick ass ppl from school gave me something and now i have to chug down this nasty drink so it can go away upside-down face,wrong-pred,the model observed classified offensive,all these sick ppl from school gave me something and now i have to ,"the model observed classified offensive since the following words showed up sick, ass, chug, nasty ."
768,anyone want to bet it costs more than that $ 50k election referendum? url,wrong-pred,the model observed classified not offensive,url=http://www.electionreferendum.com/.,the model observed classified not offensive
769,conservatives are going to make hay out of trudeau s answer but the truth is there ’ s criminals everywhere and people who will commit heinous acts of violence. whether they ’ re from syria and have brownskin or are white canadian born it ’ s tragic all around. url,wrong-pred,the model observed classified not offensive,url: trudeau s answer is a syrian s,the model observed classified not offensive
770,".. while reading this, i feel like i am hearing cardi b's voice rapping. face with tears of joy url",wrong-pred,the model observed classified not offensive,i feel like i am hearing cardi b's voice rap,the model observed classified not offensive
771,conservatives are dumber than dogshit is the central point of my tweet,wrong-pred,the model observed classified offensive,dumber than dogshit is the central point of my tweet. Conservatives are dumber,the model observed classified offensive since the following words showed up  .
772,season 2 scary er while we are on the subject do you condemn antifa and those who take soros money? url,wrong-pred,the model observed classified not offensive,er er er er er er er er er ,the model observed classified not offensive
773,"charlotte could see anywhere from 6 to 10 ” of rainfall from hurricane florence florence nc florence is nothing to mess around with, she is a very powerful and life - threatening major hurricane, bringing a lot... url",wrong-pred,the model observed classified not offensive,.. florence nc florence is a hurricane.,the model observed classified not offensive
774,@ user rosie makes me nauseous! face vomiting url,wrong-pred,the model observed classified offensive,rosie makes me nauseous! face vomiting url url,the model observed classified offensive since the following words showed up  .
775,femi nazis are liberals so me too only counts when they blame a non - liberal man. bizarro kag2018 red heart   url,wrong-pred,the model observed classified offensive,bizarro kag2018 red heart   url  ,"the model observed classified offensive since the following words showed up nazis, liberal, red ."
776,"conservatives don't like liberals because the definition of liberty is different for both, for the conservatives freedom means the freedom to obstruct impede and prevent progress in human rights civil rights and society in general. to the liberals freedom comes with",wrong-pred,the model observed classified not offensive,liberals freedom comes with the freedom to prevent progress in human rights civil rights and society in general,the model observed classified not offensive
777,@ user watch ielts liz.. she is amazing,wrong-pred,the model observed classified not offensive,.. liz...... ,the model observed classified not offensive
778,"br exit deal has been reached - and will be unveiled at special summit in november, has @ user sold out the uk to the eu??? she better have not or the @ user are finished!! @ user url",wrong-pred,the model observed classified offensive,@ user url has sold out the uk to the eu - and will,the model observed classified offensive since the following words showed up uk .
779,"black eyed peas tackle gun control, social justice on new song ‘ big love ’ url url",wrong-pred,the model observed classified not offensive,black eyed peas tackle gun control on new song ‘ big love ’ url,the model observed classified not offensive
780,@ user google appears to be a completely testosterone - free work environment. soy boys fairyland hurricane florence,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
781,wednesday motivation when you are a startup entrepreneur | boss and you and you want to salute all the other start - up entrepreneurs doing their thing. especially ones who lack the true insight in doing tasks that need to be done because of the law url,wrong-pred,the model observed classified not offensive,- - - motivation when you are a startup entrepreneur,the model observed classified not offensive
782,crazy redhead in very angry at the orange cheeto who claims to be our president. she will never accept it. denying all the lives lost in puerto rico? he is a monster url,wrong-pred,the model observed classified offensive,he is a monster url. he is a monster url ,the model observed classified offensive since the following words showed up angry .
783,@ user @ user bull crap. you know she doesn't care. she is trying to get attention for her presidential run. do you see any other senator giving nonsense? nope.,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
784,congratulations erika ikizake who won a 7 - day marta pass courtesy of marta and campus services! keep following us for more prizes. stay tuned the state way go panthers @ user @ user url,wrong-pred,the model observed classified not offensive,erika ikizake won a 7 - day marta pass ,the model observed classified not offensive
785,hurrican ce florence god bless president donald j trump. thank you for your service you are a saint. the haters are going to hate but keep up the great work.,wrong-pred,the model observed classified not offensive,hurrican ce florence god bless president donald j trump,the model observed classified not offensive
786,"europa league song the eu, cash your remaining chips in and p * ss off thumbs up you've played all your cards and liberals in the u. s too. brexiteers and trump takes it all so be nice eh and life'll be better for everyone. url",wrong-pred,the model observed classified offensive,url: url: url: url: url: url: ,the model observed classified offensive since the following words showed up  .
787,69. he managed it... url,wrong-pred,the model observed classified not offensive,url=http://url=http://url=http://url=http://url=,the model observed classified not offensive
788,@ user god help us all,wrong-pred,the model observed classified not offensive,@ user god help us all @ user god help us all @ user god help us all @,the model observed classified not offensive
789,@ user hillary clinton talking about gun control. i'm sure this thread will be full of well - reasoned and data driven responses. oh. well. maybe not.,wrong-pred,the model observed classified not offensive,i'm sure this thread will be full of well - reasoned,the model observed classified not offensive
790,democrat last ditch effort to stop kavanaugh confirmation and to smear his good name liberals trying to protect abortions crying face boycott 36 url,wrong-pred,the model observed classified not offensive,s trying to protect abortions crying face boycott 36 url url url url,the model observed classified not offensive
791,$ 1500 for a phone. you all are fucking dumb.,wrong-pred,the model observed classified offensive,i'm fucking dumb.,"the model observed classified offensive since the following words showed up fucking, dumb ."
792,kendall jenner looks amazing!!! who cares if she is nude! not everyone likes nudity for sexual desire. some like it for the artistry in it. me @ user every woman on the planet has the same parts. she is just comfortable with hers. you got this,wrong-pred,the model observed classified not offensive,kendall jenner looks amazing!!! kendall,the model observed classified not offensive
793,scorpios are sure to be committed partners. keep them satisfied in bed and you are all set.,wrong-pred,the model observed classified not offensive,. are sure to be committed partners. keep them satisfied in bed and you,the model observed classified not offensive
794,"wisdom wellness i will teach you the right way to build your own private, online'traffic economy'so you are never short of prospects and sales again url url",wrong-pred,the model observed classified not offensive,url url url url url url url url url,the model observed classified not offensive
795,"8 months and she is standing, talking, and climbing now! url",wrong-pred,the model observed classified not offensive,"8 months and she is standing, talking, and climbing now!",the model observed classified not offensive
796,creepy porn president i want this trending until he is out of office url,wrong-pred,the model observed classified not offensive,porn president i want this trending until he is out of office url,the model observed classified not offensive
797,how to get people out of your home tell them that you're a vampire... then threaten to eat them if they don't get their asses out. * shrugs * what? problem?,wrong-pred,the model observed classified offensive,......... ,"the model observed classified offensive since the following words showed up people, asses, problem ."
798,@ user fact he lost the popular vote fact he and the gop have gone their own way and ignored democrats conclusion he never spoke for all america and he is the gop and the gop is trumpism. maga live with it,wrong-pred,the model observed classified not offensive,@ user fact he lost the popular vote fact he and the gop have gone their,the model observed classified not offensive
799,@ user @ user @ user i'm mexican by the way and i support the gun control already in place if it means people like you don't ever touch a gun. what you are saying has nothing to do with this.,wrong-pred,the model observed classified not offensive,i'm mexican by the way and i support the gun,the model observed classified not offensive
800,"kavanaugh the moment blase y ford is exposed as a fraud, expect a new accuser to surface. liberals are a one trick pony. liberalism is a mental disorder",wrong-pred,the model observed classified offensive,liberals are a one trick pony. liberalism is a mental disorder.,"the model observed classified offensive since the following words showed up fraud, trick, disorder ."
801,"0 - 8 en taller s - 2, m - 5, bx - 6 ( 20 59 35 )",wrong-pred,the model observed classified not offensive,"0 - 8 en taller s - 2, m ",the model observed classified not offensive
802,hi ac why is it this match too with becky vs charlotte kinda sucky so far? they are taking shots back and forth and stumbling around like a drunk version of final fantasy or something.,wrong-pred,the model observed classified not offensive,is it sucky?,the model observed classified not offensive
803,@ user gul bukhari is gul bukhari bcoz she is her own! iron lady! more power to you oncoming fist thumbs up OK hand,wrong-pred,the model observed classified not offensive,gul bukhari is gul bukhari bcoz she is her own,the model observed classified not offensive
804,aparently my computer doesn't want to operate at the moment. so i will upload the episodes individually. sorry for the inconvenience.,wrong-pred,the model observed classified not offensive,aparently my computer doesn't want to operate at the moment.,the model observed classified not offensive
805,"christine blase y ford / democrats condemn conservatives for having made up their minds "" while at the same time "" having made up their minds "" to condemn kavanaugh without question and to vote no on kavanaugh before the hearings url",wrong-pred,the model observed classified not offensive,"democrats condemn conservatives for having made up their minds "" while at the same time """,the model observed classified not offensive
806,@ user i see your point but the school shootings are extremely controversial with bickering over gun control vs gun rights. just that the nike controversy is the current one,wrong-pred,the model observed classified not offensive,@user i see your point but the school shootings are extremely controversial with bickering,the model observed classified not offensive
807,nuns protest sad nobody supporting the “ sisters ” the “ mother superior ” of christian community... is it so difficult to stand by the victim whether she is nun or ordinary victim,wrong-pred,the model observed classified not offensive,.. is it so difficult to stand by the victim whether she is nun or ordinary,the model observed classified not offensive
808,"9 ) pornhub, the thoughtful people they are, are taking suggestions of more category of underserved communities and they are",wrong-pred,the model observed classified not offensive,"pornhub, the thoughtful people they are, are taking suggestions of more category",the model observed classified not offensive
809,@ user @ user i agree with you. read the first paragraph and struggled to get past the condescension. she is a lawyer with an educated opinion. there are other lawyers with differing educated opinions.,wrong-pred,the model observed classified not offensive,@user @user i agree with you.,the model observed classified not offensive
810,"b cog @ user she is cool, confident, cocky, and she kicks ass!!! @ user @ user @ user url",wrong-pred,the model observed classified offensive,"@ user she is cool, confident, cocky, and she kicks","the model observed classified offensive since the following words showed up cocky, ass ."
